PK_Zona;ID_Zona;Zona;TipoZona;Mapa
88;178;"MURILLO EL CUENDE                                 ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
89;179;"MURILLO EL FRUTO                                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
90;18;"AÑORBE                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
91;180;"MURUZÁBAL                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
92;181;"NAVASCUÉS / NABASKOZE                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
93;182;"NAZAR                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
94;183;"OBANOS                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
95;184;"OCO                                               ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
96;185;"OCHAGAVÍA / OTSAGABIA                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
97;186;"ODIETA                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
98;187;"OIZ                                               ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
99;188;"OLÁIBAR                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
100;189;"OLAZTI / OLAZAGUTÍA                               ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
101;19;"AOIZ / AGOITZ                                     ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
102;190;"OLEJUA                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
103;191;"OLITE / ERRIBERRI                                 ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
104;192;"OLÓRIZ / OLORITZ                                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
105;193;"CENDEA DE OLZA / OLTZA ZENDEA                     ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
106;194;"VALLE DE OLLO / OLLARAN                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
107;195;"ORBAIZETA                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
108;196;"ORBARA                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
109;197;"ORÍSOAIN                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
110;198;"ORONZ / ORONTZE                                   ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
111;199;"OROZ-BETELU / OROTZ-BETELU                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
112;2;"ABÁRZUZA / ABARTZUZA                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
113;20;"ARAITZ                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
114;200;"OTEIZA                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
115;2000_1;"Noroeste                                          ";Navarra 2000;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Navarra 2000.svg
116;2000_2;"Pirineo                                           ";Navarra 2000;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Navarra 2000.svg
117;2000_3;"Pamplona y comarca                                ";Navarra 2000;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Navarra 2000.svg
118;2000_4;"Tierra Estella                                    ";Navarra 2000;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Navarra 2000.svg
119;2000_5;"Navarra Media Oriental                            ";Navarra 2000;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Navarra 2000.svg
120;2000_6;"Ribera Alta                                       ";Navarra 2000;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Navarra 2000.svg
121;2000_7;"Tudela                                            ";Navarra 2000;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Navarra 2000.svg
122;201;"PAMPLONA / IRUÑA                                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
123;202;"PERALTA / AZKOIEN                                 ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
124;203;"PETILLA DE ARAGÓN                                 ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
125;204;"PIEDRAMILLERA                                     ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
126;205;"PITILLAS                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
127;206;"PUENTE LA REINA / GARES                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
128;207;"PUEYO                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
129;208;"RIBAFORADA                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
130;209;"ROMANZADO                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
131;21;"ARANARACHE / ARANARATXE                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
132;210;"RONCAL / ERRONKARI                                ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
133;211;"ORREAGA / RONCESVALLES                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
134;212;"SADA                                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
